Time	Volt	Xaxis	Yaxis	Zaxis
196	169	598	557	674
217	168	596	558	672
240	168	594	557	670
263	169	595	556	670
286	168	596	556	670
309	168	595	555	672
332	168	596	556	674
355	169	596	556	671
378	169	595	556	669
401	169	598	557	671
424	170	595	555	672
447	169	593	556	669
470	169	594	556	670
493	169	595	554	669
516	169	595	556	671
539	170	597	557	674
562	170	598	556	674
585	170	594	555	670
608	169	594	554	671
631	170	593	554	672
654	171	592	554	673
677	170	592	554	673
700	170	596	555	671
723	172	596	556	673
744	172	598	556	677
767	171	598	555	677
790	171	593	554	676
813	171	592	553	677
836	169	588	552	678
859	168	592	552	681
882	165	590	547	685
905	164	598	549	681
928	161	609	551	669
951	158	602	546	677
974	155	594	546	667
997	150	597	545	673
1020	146	616	543	689
1043	139	600	554	679
1066	129	605	561	666
1089	124	598	567	669
1112	121	611	562	675
1135	116	607	561	675
1158	111	606	554	685
1181	104	604	566	703
1204	99	599	583	713
1227	93	636	602	743
1250	84	666	628	749
1273	77	684	632	734
1293	72	691	636	710
1316	74	689	638	675
1339	75	653	637	621
1362	78	640	655	568
1385	80	652	646	544
1408	82	614	637	498
1431	84	548	635	472
1454	83	581	615	476
1477	80	587	589	492
1500	73	565	540	524
1523	64	566	501	569
1546	58	586	453	640
1569	56	579	399	677
1592	55	556	344	707
1615	58	539	324	731
1638	59	562	348	723
1661	60	573	386	701
1684	61	591	410	691
1707	81	608	453	690
1730	119	598	478	676
1753	131	586	477	660
1776	157	590	481	672
1799	202	621	471	665
1822	299	598	464	647
1848	336	555	438	657
1871	350	580	436	636
1894	350	627	463	608
1917	347	593	429	662
1940	339	613	369	754
1963	316	626	401	638
1986	244	645	462	655
2009	160	646	438	665
2032	133	618	450	676
2055	135	598	456	648
2078	180	607	459	662
2101	257	606	458	671
2124	295	595	451	660
2147	312	633	464	656
2170	316	626	464	661
2193	323	609	455	668
2216	332	617	451	653
2239	336	627	446	644
2262	339	616	441	643
2285	339	618	437	643
2308	343	614	427	643
2331	350	601	431	639
2354	355	639	438	628
2381	357	616	422	641
2404	362	624	428	642
2427	365	632	425	633
2450	370	643	423	633
2473	372	646	425	626
2496	374	629	419	622
2519	377	629	410	614
2542	377	645	411	615
2565	380	645	409	614
2588	379	640	409	613
2611	380	640	410	614
2634	379	646	409	613
2657	380	650	410	615
2680	380	644	410	613
2703	379	642	411	624
2726	381	634	421	629
2749	380	623	431	647
2772	380	610	438	664
2817	381	610	460	676
2840	381	611	467	674
2863	382	613	465	686
2886	383	609	470	685
2909	383	605	479	669
2935	383	594	479	660
2958	384	618	487	667
2981	383	632	488	673
3004	383	619	487	667
3027	385	607	492	635
3050	386	647	478	649
3073	388	627	454	652
3096	388	590	448	655
3119	389	622	452	664
3142	390	621	451	655
3165	388	604	450	645
3188	388	631	434	657
3211	387	624	429	651
3234	387	602	437	640
3257	387	605	428	656
3280	387	631	420	657
3303	386	621	435	640
3326	386	623	441	635
3349	386	634	435	641
3372	385	637	438	641
3395	386	634	447	640
3418	385	637	449	639
3441	384	632	450	638
3464	384	624	447	644
3485	383	623	454	653
3508	384	630	458	644
3531	383	625	451	645
3554	383	625	445	645
3577	382	630	452	649
3600	382	639	451	644
3623	380	634	448	642
3646	379	624	447	647
3669	377	635	432	638
3692	376	624	422	645
3715	374	607	407	642
3738	375	608	393	638
3761	376	590	389	647
3784	376	585	387	645
3807	375	574	385	647
3830	374	573	392	655
3853	374	557	407	658
3876	376	551	417	664
3899	377	610	437	658
3922	378	625	435	635
3945	378	629	411	638
3968	377	608	412	641
3991	377	617	418	629
4017	377	617	425	650
4040	377	610	416	651
4063	377	610	412	642
4086	379	602	426	642
4109	378	609	434	643
4132	377	610	432	654
4155	377	608	434	651
4178	378	602	438	653
4201	378	615	447	648
4224	378	619	446	649
4247	377	620	454	666
4270	377	594	461	664
4293	377	618	470	660
4316	377	618	480	657
4339	378	618	488	674
4362	377	586	496	689
4385	377	575	509	690
4408	376	588	521	695
4431	376	571	521	708
4454	375	557	516	715
4477	373	567	519	707
4500	372	570	510	698
4523	372	595	485	665
4550	373	656	494	661
4573	372	628	514	669
4596	369	586	501	669
4619	365	595	508	673
4642	361	595	503	675
4665	355	625	500	676
4688	350	614	488	676
4711	352	615	484	667
4734	352	609	477	664
4757	354	613	468	665
4780	359	611	464	662
4803	363	619	463	652
4826	367	618	455	647
4849	370	633	447	647
4872	373	621	441	645
4895	375	620	439	647
4918	377	631	441	653
4941	379	626	434	646
4964	380	615	435	640
4987	381	618	436	643
5010	382	629	440	639
5033	382	629	440	642
5056	382	612	439	651
5083	383	618	441	640
5106	382	624	433	641
5129	382	627	434	641
5152	382	638	435	639
5175	380	637	433	631
5198	380	625	423	635
5221	380	626	421	635
5244	379	632	421	634
5267	379	628	428	637
5290	380	618	430	648
5313	379	616	422	639
5336	380	618	420	628
5359	381	633	411	632
5405	383	608	435	645
5428	385	622	450	657
5451	386	618	451	645
5474	386	621	431	638
5497	386	603	421	637
5520	386	621	427	642
5543	386	626	421	638
5566	386	625	410	635
5589	386	636	414	631
5612	385	630	417	633
5635	384	623	414	630
5662	384	626	426	633
5685	384	643	442	649
5708	384	631	427	637
5731	384	630	417	619
5754	384	627	421	640
5777	384	638	436	647
5800	384	624	430	643
5823	384	624	437	642
5846	384	626	451	640
5869	384	610	461	665
5904	384	582	479	676
5927	385	563	488	682
5950	385	567	500	698
5973	386	567	498	695
5996	387	577	507	695
6019	387	568	513	698
6042	387	578	518	697
6065	387	584	522	682
6088	388	592	523	678
6111	388	597	525	682
6134	387	599	524	679
6157	388	596	523	673
6180	388	608	522	668
6207	388	612	518	671
6230	388	616	513	673
6253	389	620	508	673
6276	388	618	509	665
6299	388	619	508	658
6322	388	626	502	662
6345	388	625	505	665
6368	388	616	507	665
6391	388	622	510	661
6414	387	626	512	659
6437	388	624	516	666
6460	387	618	515	665
6483	386	608	522	658
6506	387	621	521	666
6529	388	633	520	668
6552	387	614	519	665
6575	388	622	519	663
6598	387	626	521	663
6621	389	627	523	662
6644	389	628	521	661
6667	389	628	524	649
6690	388	639	515	667
6713	388	639	516	658
6740	387	620	515	651
6763	387	640	509	665
6786	386	639	496	667
6809	385	608	490	664
6832	386	612	488	658
6855	384	651	489	663
6878	383	628	476	663
6901	383	600	471	664
6924	383	602	471	662
6947	382	612	471	665
6970	382	606	470	661
6993	383	604	464	658
7016	382	598	456	661
7039	382	611	451	653
7062	382	605	445	657
7085	383	600	455	659
7108	384	602	458	664
7131	384	600	452	659
7154	383	609	447	659
7177	384	617	439	657
7200	384	605	428	648
7223	385	609	428	649
7246	385	616	428	659
7273	386	592	426	655
7296	388	594	414	645
7319	389	588	401	648
7342	390	570	395	645
7365	393	591	405	642
7388	394	637	426	637
7411	394	660	429	646
7434	394	620	449	652
7457	394	602	442	641
7480	395	633	427	628
7503	395	636	427	636
7526	395	621	432	633
7549	395	630	430	639
7572	395	637	427	636
7595	394	644	441	643
7618	395	630	459	649
7641	393	620	457	659
7664	394	606	464	657
7687	394	597	471	668
7710	393	605	473	669
7733	391	599	471	671
7756	388	594	478	677
7779	381	604	485	678
7802	366	592	491	676
7829	352	569	483	685
7852	334	591	491	702
7875	325	593	499	690
7898	328	575	494	689
7921	332	584	490	676
7944	337	583	494	679
7989	346	603	482	698
8012	350	590	474	674
8035	356	578	475	669
8058	362	615	458	673
8081	364	618	464	666
8104	364	612	461	656
8127	363	630	446	657
8150	362	612	442	649
8173	359	639	445	649
8196	358	637	437	642
8219	355	625	427	644
8242	352	624	436	635
8265	348	627	436	642
8288	337	620	436	639
8311	321	621	433	623
8334	300	651	431	635
8357	286	626	434	642
8384	271	623	433	633
8407	253	632	439	635
8430	244	642	437	641
8453	248	635	431	625
8476	255	632	433	630
8499	255	654	445	636
8522	241	663	436	627
8545	256	633	427	622
8568	282	632	433	642
8591	295	661	437	636
8614	310	637	430	629
8637	314	619	438	636
8660	319	647	434	626
8683	322	632	426	631
8706	323	622	436	647
8729	324	630	432	624
8752	324	618	409	638
8775	324	612	421	641
8798	323	616	452	654
8821	324	614	426	640
8844	322	626	430	633
8867	324	634	440	643
8890	323	653	437	633
8917	325	641	427	631
8940	325	612	430	641
8963	327	609	432	643
8986	327	629	430	651
9009	328	620	434	651
9032	327	604	433	654
9055	328	604	434	650
9078	328	628	442	647
9101	329	634	443	641
9124	329	629	437	633
9147	329	629	438	638
9170	329	632	437	639
9193	329	632	442	638
9216	329	630	440	644
9239	330	615	437	651
9262	330	609	449	658
9285	330	616	453	654
9308	332	610	452	660
9331	334	600	463	671
9354	335	606	465	679
9377	337	608	464	673
9400	339	591	463	674
9423	342	584	479	689
9446	343	593	475	700
9467	344	604	469	695
9490	346	595	467	669
9513	347	578	481	650
9536	349	604	457	674
9559	348	586	458	659
9582	350	598	473	666
9605	350	650	465	674
9628	353	626	477	651
9651	351	638	481	644
9674	353	662	461	649
9697	353	640	466	644
9720	353	633	464	643
9743	353	632	460	641
9766	352	641	448	657
9789	352	634	448	651
9812	351	625	447	641
9835	351	620	447	641
9858	351	625	445	643
9881	351	634	447	634
9904	351	627	440	644
9927	350	628	439	646
9950	351	642	440	631
9973	350	646	435	629
10000	350	637	432	641
10023	349	624	430	636
10046	348	618	426	632
10069	347	618	436	638
10092	347	621	432	640
10115	348	611	428	647
10138	347	605	425	654
10161	346	615	430	649
10184	345	621	422	643
10207	345	609	420	653
10230	345	610	416	645
10253	345	585	408	650
10276	344	580	408	648
10299	346	620	419	656
10322	348	626	433	656
10345	347	612	442	647
10368	344	598	451	634
10391	345	628	444	660
10414	346	620	437	657
10437	346	612	441	644
10460	348	620	443	644
10483	347	625	420	633
10510	348	630	407	637
10533	347	621	417	648
10578	346	614	417	641
10601	347	603	424	636
10624	346	605	432	643
10647	346	621	437	644
10670	347	614	436	640
10693	346	615	444	647
10716	345	634	447	651
10739	344	637	445	638
10762	345	639	446	644
10785	345	633	456	647
10808	343	625	457	643
10831	343	630	454	650
10854	342	631	457	643
10877	343	631	458	642
10900	343	630	458	652
10923	343	617	464	658
10946	342	618	472	660
10969	342	618	480	660
10992	343	612	487	664
11015	343	614	498	679
11042	343	602	501	691
11065	343	590	503	693
11088	343	577	503	695
11111	344	579	509	697
11134	346	572	504	714
11157	349	565	488	708
11180	355	557	469	671
11203	360	646	482	649
11226	363	662	505	665
11249	367	611	493	667
11272	371	619	493	668
11295	373	629	489	661
11318	373	625	483	657
11341	374	631	485	659
11364	373	642	474	650
11387	373	626	470	658
11410	373	602	468	661
11433	373	622	470	652
11456	372	656	461	643
11479	372	646	452	645
11502	371	602	451	645
11525	370	637	449	637
11548	369	652	438	639
11575	367	637	441	647
11598	367	615	448	648
11621	366	631	449	639
11644	366	642	437	640
11679	365	623	454	644
11702	366	631	445	649
11725	365	610	452	651
11748	365	626	456	647
11771	365	628	454	646
11794	364	629	453	647
11817	364	626	454	649
11840	363	630	459	644
11863	364	628	447	646
11886	364	633	437	640
11909	364	637	441	647
11932	363	626	446	646
11955	364	622	440	644
11978	363	619	446	647
12001	364	640	447	639
12024	364	652	445	635
12047	364	634	442	635
12070	364	642	435	640
12097	365	635	445	649
12120	365	624	460	640
12143	365	637	457	649
12166	365	629	455	651
12189	367	623	457	641
12212	368	625	436	641
12235	369	620	432	639
12258	369	626	436	636
12281	369	635	437	647
12304	368	630	423	640
12327	369	624	419	637
12350	369	621	421	636
12373	369	634	427	638
12396	368	631	429	636
12419	370	618	431	642
12442	369	622	439	639
12465	367	633	452	658
12488	368	631	453	647
12511	368	632	446	644
12534	368	627	450	634
12557	369	633	459	645
12580	368	637	460	652
12607	368	630	467	653
12630	367	626	479	649
12653	366	637	489	654
12676	366	644	494	663
12699	365	625	492	667
12722	365	626	491	660
12745	365	624	496	666
12768	366	626	494	667
12791	365	623	488	664
12814	365	613	489	661
12837	364	616	496	663
12860	363	629	500	672
12883	364	629	499	666
12906	364	611	500	658
12929	363	617	507	660
12952	362	635	512	664
12975	362	637	511	662
12998	362	645	504	658
13021	361	637	505	643
13044	360	650	503	648
13067	359	657	488	649
13090	358	635	478	648
13117	359	635	470	654
13140	359	626	470	648
13185	357	631	466	645
13208	357	636	460	652
13231	356	644	459	648
13254	355	629	463	647
13277	355	623	462	646
13300	355	625	458	653
13323	355	636	459	650
13346	354	633	464	645
13369	353	633	460	645
13392	354	638	454	641
13415	354	632	455	643
13438	354	637	453	643
13461	353	640	451	646
13484	353	630	450	642
13507	353	625	452	642
13530	353	634	450	646
13553	353	634	447	645
13576	353	622	450	646
13599	353	623	449	646
13622	353	624	449	648
13645	353	624	454	649
13672	353	628	452	648
13695	353	626	452	646
13718	353	623	450	647
13741	353	616	449	649
13764	353	622	448	649
13787	354	630	448	646
13810	352	629	442	647
13833	352	625	442	645
13856	353	623	445	650
13879	353	618	452	649
13902	353	628	453	647
13925	353	630	451	647
13948	353	621	453	652
13971	353	618	461	654
13994	354	629	460	651
14017	353	628	457	653
14040	353	615	457	656
14063	353	619	461	657
14086	352	629	462	654
14109	353	622	459	654
14132	352	614	458	654
14155	353	621	453	648
14182	353	628	451	648
14205	353	621	454	653
14228	353	613	453	653
14251	353	628	452	644
14274	354	632	449	649
14297	353	627	448	651
14320	354	637	442	644
14343	354	630	432	643
14366	354	609	424	645
14389	353	606	432	656
14412	353	631	456	655
14435	354	627	449	649
14458	356	601	437	647
14481	357	604	436	656
14504	357	632	448	654
14527	358	629	443	645
14550	359	615	434	636
14573	360	620	427	646
14596	360	619	424	642
14619	360	613	422	640
14642	362	619	419	632
14665	361	634	419	635
14692	361	634	419	637
14715	361	625	416	626
14738	362	635	419	637
14761	361	638	426	631
14784	360	636	430	636
14807	359	633	432	630
14830	356	642	441	635
14853	355	645	449	646
14876	353	622	461	659
14899	353	606	469	662
14922	353	630	474	658
14945	353	636	481	660
14968	353	624	488	666
14991	353	602	496	678
15014	354	604	500	677
15037	354	621	503	665
15060	355	630	502	665
15083	356	629	503	666
15106	356	630	505	664
15129	357	636	503	658
15152	357	637	505	658
15175	358	644	500	665
15202	358	632	513	654
15225	356	621	518	656
15248	355	641	509	671
15271	354	640	511	661
15294	354	629	506	653
15317	354	635	510	652
15340	352	640	508	655
15363	352	636	502	655
15386	350	623	497	661
15409	351	626	494	658
15432	350	628	493	650
15455	349	617	483	654
15478	349	621	476	668
15501	348	620	476	667
15524	349	606	476	664
15547	348	606	477	660
15570	350	619	477	666
15593	349	613	478	664
15616	350	609	477	666
15639	350	613	474	664
15662	350	606	475	663
15685	350	614	473	661
15708	350	621	473	658
15757	350	621	466	655
15780	349	622	466	655
15803	350	617	467	656
15826	350	626	469	657
15849	349	627	463	653
15872	349	617	465	654
15895	349	608	466	648
15918	348	623	467	655
15941	349	626	460	649
15964	348	610	463	656
15987	348	628	456	653
16010	349	621	462	649
16033	350	624	458	645
16056	348	631	442	646
16079	347	625	438	646
16102	348	625	435	637
16125	347	637	414	646
16148	347	636	415	640
16171	347	615	422	646
16194	349	607	429	653
16217	355	634	452	636
16240	358	664	457	628
16267	360	664	453	625
16290	361	648	460	631
16313	362	646	463	634
16336	362	652	467	635
16359	362	642	471	650
16382	364	631	473	651
16405	362	636	477	653
16428	362	627	480	654
16451	361	633	478	661
16474	361	619	479	664
16497	358	615	484	665
16520	357	617	484	667
16543	355	619	484	666
16566	354	618	482	659
16589	352	627	486	662
16612	352	631	487	662
16635	353	633	482	655
16658	351	640	486	646
16681	351	641	489	649
16704	353	627	487	652
16727	353	638	474	649
16750	354	647	472	657
16777	354	611	469	652
16800	355	621	468	655
16823	356	645	454	650
16846	357	648	460	641
16869	357	633	452	643
16892	358	621	449	638
16915	358	644	456	637
16938	360	662	444	632
16961	360	647	447	631
16984	360	641	445	631
17007	361	650	441	632
17030	362	640	440	631
17053	361	644	432	627
17076	362	661	435	623
17099	363	643	428	627
17122	363	628	424	610
17145	366	675	439	635
17168	366	651	445	636
17191	366	607	429	632
17214	367	664	444	617
17237	367	687	440	614
17260	367	648	440	615
17287	367	657	447	613
17310	368	655	446	616
17333	368	650	441	619
17356	368	664	444	611
17379	368	668	450	608
17402	366	661	455	615
17425	366	663	449	621
17460	366	657	452	617
17483	367	683	453	607
17506	366	675	464	612
17529	366	670	448	614
17552	366	669	459	603
17575	366	675	449	608
17598	367	670	441	606
17621	367	681	448	597
17644	367	688	446	615
17667	366	655	442	599
17690	367	674	446	611
17713	366	667	450	613
17736	366	656	457	596
17759	366	676	449	616
17782	365	674	448	614
17805	366	672	457	600
17831	366	668	445	603
17854	365	672	449	600
17877	365	670	450	605
17900	365	671	449	609
17923	364	666	450	606
17946	364	679	450	607
17969	364	671	447	604
17992	364	671	448	609
18015	364	671	452	606
18038	362	672	450	608
18061	364	670	451	605
18084	364	671	454	608
18107	363	673	450	607
18130	364	663	449	606
18153	363	672	451	607
18176	363	672	454	611
18199	363	671	453	608
18222	363	668	456	608
18245	363	664	455	612
18268	362	675	451	615
18291	362	678	457	604
18314	362	676	461	607
18363	363	664	450	609
18386	362	665	449	616
18409	363	663	447	622
18432	362	655	445	619
18455	362	648	449	618
18478	362	654	443	629
18501	362	668	446	629
18524	361	667	457	623
18547	361	654	455	629
18570	361	637	453	631
18593	361	651	458	627
18616	360	662	459	631
18639	360	646	459	632
18662	357	627	456	643
18685	358	628	450	650
18708	361	646	453	647
18731	363	622	448	646
18754	366	605	443	650
18777	368	611	444	656
18800	369	614	448	652
18823	372	606	446	649
18846	372	604	445	656
18872	373	601	452	661
18895	372	625	453	654
18918	372	618	453	655
18941	373	594	447	655
18964	372	616	451	659
18987	372	624	447	650
19010	371	606	434	649
19033	370	623	433	649
19056	370	630	430	647
19079	371	606	423	638
19102	372	621	430	644
19125	373	630	450	655
19148	374	590	462	664
19171	375	615	455	661
19194	376	617	444	644
19217	381	616	444	649
19240	384	618	442	654
19263	388	613	436	647
19286	392	620	437	639
19309	394	622	445	648
19332	392	619	449	656
19355	393	626	447	657
19378	393	608	440	650
19399	394	613	446	647
19422	394	627	452	646
19445	393	613	444	642
19468	394	621	447	644
19491	395	626	453	641
19514	393	634	456	649
19537	393	624	459	664
19560	393	622	462	657
19583	391	633	456	647
19606	392	633	457	642
19629	391	637	456	648
19652	392	618	452	644
19675	392	621	454	631
19698	391	649	462	642
19721	392	642	458	655
19744	392	621	458	651
19767	391	634	464	644
19790	391	641	464	646
19813	392	634	460	646
19836	392	627	457	639
19859	391	631	456	633
19882	391	649	465	650
19909	391	637	455	644
19932	390	617	442	626
19955	391	641	451	647
19978	390	643	454	658
20001	391	619	447	643
20024	390	621	445	638
20047	391	635	449	648
20070	390	635	448	651
20093	390	623	443	641
20116	390	629	440	640
20139	391	642	447	644
20162	391	632	445	639
20185	390	633	444	632
20208	390	634	448	640
20231	391	623	464	657
20254	391	636	471	647
20277	390	643	471	637
20300	391	625	485	657
20323	390	627	498	665
20346	391	636	502	663
20369	390	634	505	657
20392	391	609	522	670
20419	390	654	523	658
20442	390	664	502	644
20465	390	639	501	645
20488	390	654	508	646
20511	390	659	497	649
20534	390	627	505	652
20557	390	629	505	647
20580	390	650	495	651
20603	389	637	492	653
20626	389	627	491	651
20649	388	645	486	647
20672	389	636	483	648
20695	388	634	486	656
20718	388	633	484	658
20741	388	620	480	652
20764	389	635	487	656
20787	388	635	484	667
20810	388	622	481	659
20833	387	624	479	657
20856	387	621	473	652
20879	388	627	470	652
20902	387	626	464	653
20951	388	631	469	656
20974	388	627	463	653
20997	387	618	463	650
21020	388	624	466	652
21043	387	628	467	658
21066	388	623	465	649
21089	387	629	467	648
21112	387	641	469	647
21135	386	642	467	647
21158	387	639	467	640
21181	387	651	463	637
21204	387	652	456	633
21227	386	646	455	626
21250	387	640	475	644
21273	386	663	488	644
21296	387	649	483	637
21319	387	627	498	656
21342	387	649	517	656
21365	386	666	515	648
21388	387	655	510	638
21411	386	661	503	640
21434	386	646	483	647
21457	386	618	481	661
21484	387	620	484	659
21507	388	636	482	654
21530	387	637	479	651
21553	387	629	480	648
21576	388	635	480	650
21599	387	632	479	657
21622	387	631	480	651
21645	387	635	479	650
21668	388	634	482	653
21691	387	636	481	651
21714	387	634	480	650
21737	387	636	476	649
21760	387	634	475	650
21783	388	634	475	656
21806	387	631	473	651
21829	387	630	473	649
21852	386	640	471	646
21875	387	632	473	653
21898	386	630	473	652
21921	387	634	470	647
21944	386	630	470	647
21967	387	634	469	654
21994	387	641	465	645
22017	386	628	463	644
22040	386	627	463	647
22063	387	638	462	648
22086	386	637	464	649
22109	386	638	464	648
22132	385	626	461	649
22155	386	626	461	649
22178	385	639	459	644
22201	386	631	461	648
22224	386	624	462	648
22247	386	636	467	650
22270	386	635	466	646
22293	386	635	464	644
22316	386	632	467	646
22339	385	640	468	651
22362	386	633	463	645
22385	385	635	466	640
22408	386	640	469	649
22431	386	625	462	648
22454	385	625	464	649
22477	386	649	470	641
22504	386	639	464	641
22527	386	624	462	647
22550	386	640	462	646
22573	386	649	463	639
22596	386	638	459	639
22619	386	643	456	640
22642	386	660	452	631
22665	385	651	448	629
22688	386	639	449	637
22711	386	634	459	643
22734	386	643	458	644
22757	386	636	452	639
22780	387	632	453	630
22803	388	657	453	636
22826	388	636	440	641
22849	388	626	441	636
22872	389	639	442	633
22895	388	656	446	639
22918	389	636	442	638
22941	388	631	440	632
22964	388	645	446	640
22987	389	637	443	636
23014	389	637	440	629
23037	388	644	441	634
23060	389	639	442	644
23083	389	633	453	639
23106	389	638	450	632
23129	390	656	459	627
23152	390	662	461	633
23175	389	645	458	634
23198	390	646	472	630
23233	389	657	472	632
23256	389	658	470	632
23279	389	660	471	634
23302	389	655	476	632
23325	389	652	470	626
23348	389	660	476	633
23371	388	662	482	635
23394	389	653	484	641
23417	388	640	486	647
23440	389	639	490	656
23463	389	632	496	677
23486	389	603	498	693
23532	390	576	508	707
23555	392	636	483	628
23582	391	721	479	614
23605	393	639	492	652
23628	391	608	476	661
23651	392	635	491	659
23674	391	648	488	647
23697	392	653	479	645
23720	393	646	483	644
23743	394	644	482	646
23766	395	647	475	647
23789	394	637	471	647
23812	395	646	475	642
23835	395	653	464	641
23858	395	641	465	635
23881	396	651	460	634
23904	396	648	456	628
23927	396	648	459	626
23950	396	647	456	634
23973	395	642	454	637
23996	395	642	461	639
24019	396	639	452	641
24042	394	634	459	643
24065	394	646	462	645
24092	394	638	459	641
24115	394	629	455	640
24138	393	636	453	643
24161	394	636	458	646
24184	393	638	452	641
24207	393	632	445	638
24230	392	630	449	641
24253	392	629	447	641
24276	392	640	456	648
24299	392	642	468	664
24322	392	626	465	659
24345	391	603	453	656
24368	391	618	452	641
24391	390	638	460	643
24414	391	634	465	654
24437	390	613	451	653
24460	390	620	456	649
24483	390	625	461	652
24506	390	617	455	651
24529	390	612	450	648
24552	389	618	451	655
24575	389	642	447	646
24602	389	606	453	651
24625	388	587	440	661
24648	386	637	437	649
24671	384	657	441	626
24694	383	640	429	619
24717	383	666	432	619
24740	381	664	437	626
24763	380	639	440	640
24786	383	606	435	652
24809	384	631	448	646
24832	385	652	454	642
24855	386	642	452	632
24878	386	637	441	632
24901	387	618	435	637
24924	388	616	438	643
24947	389	634	439	643
24970	390	641	441	639
24993	392	636	447	633
25016	392	626	444	644
25039	393	634	444	644
25062	393	640	447	632
25085	393	645	458	637
25112	394	649	451	632
25135	393	640	442	631
25158	393	641	450	638
25181	393	636	448	630
25204	394	643	438	626
25227	392	649	439	629
25250	392	650	446	630
25273	393	641	446	626
25296	392	648	446	625
25319	392	656	453	634
25342	392	655	457	636
25365	392	637	463	631
25388	391	644	458	627
25411	391	670	465	635
25434	392	663	475	629
25457	392	661	477	637
25480	392	646	481	638
25503	392	647	485	645
25526	391	647	492	654
25549	392	639	494	652
25572	391	643	505	662
25595	390	628	503	668
25618	390	618	502	677
25645	389	607	505	685
25668	389	595	503	689
25691	389	576	499	705
25714	390	559	486	701
25737	393	565	471	693
25760	391	569	463	663
25783	388	641	493	658
25806	388	643	504	663
25829	386	609	487	666
25852	386	592	492	664
25875	385	629	489	671
25898	385	644	486	661
25921	384	637	484	654
25944	384	623	482	648
25967	385	647	487	644
25990	385	679	477	642
26013	384	647	467	635
26036	385	647	464	634
26059	385	650	464	635
26105	386	652	461	632
26128	386	653	453	635
26151	386	655	443	624
26178	387	660	447	630
26201	386	652	454	631
26224	386	652	453	629
26247	387	638	452	635
26270	387	649	451	628
26293	387	658	451	631
26316	387	651	448	631
26339	386	634	447	637
26362	387	629	448	643
26385	387	650	450	631
26408	387	642	444	635
26431	387	618	441	635
26454	387	626	442	640
26477	388	632	436	637
26500	389	627	429	639
26523	388	619	427	636
26546	388	618	433	639
26569	388	642	436	635
26592	388	648	434	629
26615	388	622	429	637
26638	388	640	431	628
26661	388	662	430	640
26688	388	627	427	638
26711	388	619	436	642
26734	387	633	446	634
26757	389	649	447	637
26780	389	639	439	643
26803	389	626	433	632
26826	390	631	434	633
26849	390	631	435	634
26872	390	632	433	636
26895	389	635	432	636
26918	389	637	437	634
26941	389	626	434	634
26964	390	640	438	636
26987	389	640	438	634
27010	390	630	435	633
27033	389	631	436	638
27056	390	640	437	642
27079	391	643	437	639
27102	390	632	425	624
27125	390	629	411	619
27148	391	645	410	636
27171	391	634	409	637
27198	390	624	412	626
27221	391	641	432	626
27244	390	658	444	641
27267	391	643	453	645
27290	390	628	460	643
27313	389	635	472	648
27336	390	637	483	652
27359	390	627	487	655
27382	390	624	490	656
27405	389	624	507	660
27428	390	618	523	667
27451	390	605	536	676
27474	389	610	537	671
27497	387	630	532	676
27520	388	624	542	676
27543	388	601	557	668
27566	387	601	558	663
27589	387	626	558	660
27612	386	633	567	660
27635	386	642	563	668
27658	387	643	567	665
27681	385	644	574	658
27704	387	635	582	649
27731	386	639	579	650
27754	386	671	574	649
27777	386	653	558	647
27800	386	642	545	651
27823	385	653	535	649
27846	385	650	523	645
27869	385	645	517	642
27892	384	654	517	650
27915	385	649	508	650
27938	385	629	512	641
27961	385	645	509	644
27984	387	651	501	648
28007	386	638	493	648
28030	388	634	488	637
28053	387	649	484	638
28076	387	661	475	643
28099	388	649	471	644
28122	389	638	472	644
28145	388	632	468	650
28168	388	633	468	643
28191	389	640	467	644
28214	390	640	468	644
28241	390	645	458	642
28264	390	651	456	641
28287	390	638	458	640
28310	391	646	460	639
28333	391	661	461	635
28356	391	650	466	637
28379	392	642	471	638
28402	391	647	477	641
28425	392	649	478	640
28448	392	646	477	640
28471	392	639	478	645
28494	391	638	480	651
28517	392	638	477	648
28540	392	631	477	648
28563	392	631	478	650
28586	391	633	476	656
28609	391	625	474	656
28632	391	621	473	654
28678	390	627	470	656
28701	391	629	471	653
28724	391	629	472	652
28747	390	628	470	653
28774	390	627	469	657
28797	390	627	470	652
28820	389	629	470	654
28843	389	626	470	653
28866	389	625	471	657
28889	390	625	468	653
28912	389	625	466	653
28935	388	625	467	655
28958	389	624	467	655
28981	388	617	467	656
29016	389	624	466	656
29039	389	628	466	653
29062	388	618	467	655
29085	388	621	469	655
29108	388	635	470	654
29131	388	629	468	654
29154	388	618	470	654
29177	388	624	474	653
29200	388	629	475	654
29223	388	636	475	655
29246	387	628	471	652
29269	388	627	471	654
29296	387	635	472	651
29319	388	631	468	647
29342	387	630	467	652
29365	388	634	462	650
29388	387	626	465	650
29411	387	629	463	648
29434	387	625	466	650
29457	388	627	465	651
29480	388	620	470	653
29503	387	632	475	656
29526	388	634	473	650
29549	388	625	477	651
29572	387	620	479	654
29595	387	637	476	650
29618	388	650	477	644
29641	387	639	464	641
29664	387	642	460	642
29687	387	641	451	651
29710	387	617	446	639
29733	388	635	439	636
29756	388	644	439	642
29779	389	622	452	645
29802	390	635	467	651
29829	393	631	469	648
29852	393	646	477	639
29875	393	661	460	633
29898	393	644	463	637
29921	393	642	467	641
29944	393	642	472	647
